Region,Local Authority,Initial funding allocation,Number of hereditaments (businesses) that the local authority has identified may be in scope to receive a grant as at 19 Apil,Number of grant payments made to hereditaments (businesses) as at 19 April,Value of payments (£),% businesses paid,% amount paid,Average sum paid
E,Luton Borough Council,"£31,114,000",2465,267,"£3,255,000",10.83,10.46,"£12,191"
WM,Sandwell Metropolitan Borough Council,"£73,036,000",5887,626,"£7,955,000",10.63,10.89,"£12,708"
WM,Birmingham City Council,"£231,576,000",19146,1388,"£25,370,000",7.25,10.96,"£18,278"
SE,Havant Borough Council,"£25,004,000",1383,242,"£3,050,000",17.50,12.20,"£12,603"
SE,Slough Borough Council,"£17,988,000",1254,135,"£2,235,000",10.77,12.42,"£16,556"
EM,Nottingham City Council,"£63,436,000",5170,619,"£7,990,000",11.97,12.60,"£12,908"
WM,Dudley Metropolitan Borough Council,"£66,588,000",3952,648,"£8,610,000",16.40,12.93,"£13,287"
SE,Vale of White Horse District Council,"£17,810,000",1642,201,"£2,415,000",12.24,13.56,"£12,015"
EM,South Derbyshire District Council,"£15,240,000",1202,170,"£2,210,000",14.14,14.50,"£13,000"
SE,South Oxfordshire District Council,"£27,494,000",2320,253,"£4,195,000",10.91,15.26,"£16,581"
SE,Tunbridge Wells Borough Council,"£27,034,000",2036,215,"£4,385,000",10.56,16.22,"£20,395"
SE,Adur District Council,"£17,640,000",951,234,"£2,925,000",24.61,16.58,"£12,500"
NW,Manchester City Council,"£121,032,000",9561,1581,"£20,160,000",16.54,16.66,"£12,751"
NW,Barrow Borough Council,"£16,812,000",1301,237,"£2,805,000",18.22,16.68,"£11,835"
EM,Northampton Borough Council,"£37,374,000",2778,486,"£6,675,000",17.49,17.86,"£13,735"
E,Tendring District Council,"£80,270,000",3086,1416,"£15,570,000",45.88,19.40,"£10,996"
E,Maldon District Council,"£17,812,000",1373,270,"£3,525,000",19.66,19.79,"£13,056"
SE,Wokingham Borough Council,"£20,532,000",1948,252,"£4,080,000",12.94,19.87,"£16,190"
L,London Borough of Harrow,"£42,216,000",3320,464,"£8,510,000",13.98,20.16,"£18,341"
E,East Herts District Council,"£31,124,000",2549,393,"£6,390,000",15.42,20.53,"£16,260"
SE,Fareham Borough Council,"£20,180,000",1597,326,"£4,235,000",20.41,20.99,"£12,991"
SE,West Berkshire Council,"£29,314,000",2258,451,"£6,205,000",19.97,21.17,"£13,758"
SW,Mid Devon District Council,"£22,732,000",2561,511,"£4,815,000",19.95,21.18,"£9,423"
L,London Borough of Haringey,"£56,312,000",5947,719,"£12,125,000",12.09,21.53,"£16,864"
SE,Worthing Borough Council,"£26,130,000",1647,459,"£5,790,000",27.87,22.16,"£12,614"
SW,Dorset Council,"£133,770,000",10364,2479,"£30,610,000",23.92,22.88,"£12,348"
SW,North Devon Council,"£50,944,000",3782,1026,"£11,880,000",27.13,23.32,"£11,579"
E,Central Bedfordshire Council,"£45,742,000",3715,923,"£11,495,000",24.85,25.13,"£12,454"
SW,Torbay Council,"£47,490,000",3215,1158,"£12,165,000",36.02,25.62,"£10,505"
SW,Bath and North East Somerset Council,"£46,106,000",3381,834,"£12,030,000",24.67,26.09,"£14,424"
SE,Brighton and Hove City Council,"£82,884,000",5536,1207,"£22,135,000",21.80,26.71,"£18,339"
L,London Borough of Bromley,"£52,482,000",3316,870,"£14,760,000",26.24,28.12,"£16,966"
SW,"Bournemouth, Christchurch and Poole Borough Council","£128,802,000",6811,2746,"£36,865,000",40.32,28.62,"£13,425"
SE,Tandridge District Council,"£19,214,000",1587,435,"£5,535,000",27.41,28.81,"£12,724"
SE,Hart District Council,"£14,154,000",973,261,"£4,170,000",26.82,29.46,"£15,977"
L,London Borough of Lewisham,"£47,004,000",3643,1052,"£13,970,000",28.88,29.72,"£13,279"
L,London Borough of Hammersmith and Fulham,"£49,208,000",2874,789,"£14,715,000",27.45,29.90,"£18,650"
SE,Guildford Borough Council,"£21,256,000",1745,441,"£6,405,000",25.27,30.13,"£14,524"
NW,Preston City Council,"£34,970,000",2859,799,"£10,595,000",27.95,30.30,"£13,260"
L,London Borough of Hounslow,"£36,520,000",2541,666,"£11,085,000",26.21,30.35,"£16,644"
L,London Borough of Waltham Forest,"£54,066,000",3624,1083,"£16,755,000",29.88,30.99,"£15,471"
EM,Erewash Borough Council,"£24,906,000",2164,619,"£7,720,000",28.60,31.00,"£12,472"
NW,Sefton Council,"£61,942,000",3305,1663,"£19,480,000",50.32,31.45,"£11,714"
SE,Oxford City Council,"£25,300,000",1832,437,"£8,060,000",23.85,31.86,"£18,444"
EM,Corby Borough Council,"£11,516,000",1133,297,"£3,675,000",26.21,31.91,"£12,374"
YH,City of Bradford Metropolitan District Council,"£135,934,000",11662,3796,"£43,975,000",32.55,32.35,"£11,585"
SE,Bracknell Forest Council,"£10,360,000",931,236,"£3,395,000",25.35,32.77,"£14,386"
L,London Borough of Croydon,"£60,588,000",4218,1386,"£20,100,000",32.86,33.17,"£14,502"
YH,Sheffield City Council,"£113,068,000",9334,3223,"£37,765,000",34.53,33.40,"£11,717"
NW,Salford City Council,"£47,408,000",3866,1373,"£15,980,000",35.51,33.71,"£11,639"
EM,Derby City Council,"£45,866,000",3892,1278,"£15,945,000",32.84,34.76,"£12,477"
SE,Horsham District Council,"£29,522,000",2227,783,"£10,380,000",35.16,35.16,"£13,257"
SE,Maidstone Borough Council,"£27,608,000",2222,775,"£9,730,000",34.88,35.24,"£12,555"
L,London Borough of Bexley,"£36,438,000",2715,1047,"£12,855,000",38.56,35.28,"£12,278"
NW,Burnley Borough Council,"£26,510,000",2209,790,"£9,355,000",35.76,35.29,"£11,842"
EM,Oadby and Wigston Borough Council,"£10,212,000",706,288,"£3,615,000",40.79,35.40,"£12,552"
L,London Borough of Barking and Dagenham,"£26,938,000",2029,654,"£9,555,000",32.23,35.47,"£14,610"
WM,East Staffordshire Borough Council,"£27,084,000",2084,864,"£9,615,000",41.46,35.50,"£11,128"
SE,Rother District Council,"£33,814,000",2609,1011,"£12,075,000",38.75,35.71,"£11,944"
SE,Arun District Council,"£39,380,000",3281,1183,"£14,350,000",36.06,36.44,"£12,130"
YH,North Lincolnshire Council,"£37,242,000",3209,1281,"£13,710,000",39.92,36.81,"£10,703"
WM,Walsall Council,"£53,554,000",4350,1738,"£19,735,000",39.95,36.85,"£11,355"
E,East Suffolk Council,"£101,526,000",6625,3512,"£37,715,000",53.01,37.15,"£10,739"
SE,Swale Borough Council,"£32,646,000",2591,1026,"£12,150,000",39.60,37.22,"£11,842"
SE,Wealden District Council,"£47,942,000",4675,1523,"£17,915,000",32.58,37.37,"£11,763"
E,Southend-on-Sea Borough Council,"£47,454,000",3174,1495,"£17,800,000",47.10,37.51,"£11,906"
YH,Kirklees Council,"£113,650,000",9643,3869,"£42,680,000",40.12,37.55,"£11,031"
SE,Isle of Wight Council,"£62,688,000",5164,1940,"£23,585,000",37.57,37.62,"£12,157"
SE,Windsor and Maidenhead,"£28,638,000",2219,631,"£10,960,000",28.44,38.27,"£17,369"
E,East Cambridgeshire District Council,"£15,808,000",1321,515,"£6,125,000",38.99,38.75,"£11,893"
WM,City of Wolverhampton Council,"£53,518,000",4461,1857,"£20,985,000",41.63,39.21,"£11,300"
EM,East Lindsey District Council,"£62,172,000",4736,2047,"£24,430,000",43.22,39.29,"£11,935"
E,Norwich City Council,"£39,062,000",2872,921,"£15,480,000",32.07,39.63,"£16,808"
L,London Borough of Hillingdon,"£45,756,000",3321,1264,"£18,175,000",38.06,39.72,"£14,379"
WM,Newcastle Under Lyme Borough Council,"£23,876,000",2041,869,"£9,500,000",42.58,39.79,"£10,932"
SE,Milton Keynes Council,"£40,156,000",3027,1212,"£16,185,000",40.04,40.31,"£13,354"
NW,Liverpool City Council,"£107,810,000",9688,3385,"£43,885,000",34.94,40.71,"£12,965"
NW,Tameside Metropolitan Borough Council,"£53,810,000",4359,2038,"£22,150,000",46.75,41.16,"£10,868"
E,Fenland District Council,"£21,796,000",1867,830,"£9,110,000",44.46,41.80,"£10,976"
SE,Eastleigh Borough Council,"£18,154,000",1435,590,"£7,685,000",41.11,42.33,"£13,025"
NW,Cheshire East Council,"£95,514,000",7033,3028,"£40,585,000",43.05,42.49,"£13,403"
SW,South Gloucestershire Council,"£39,018,000",4056,1371,"£16,620,000",33.80,42.60,"£12,123"
WM,Coventry City Council,"£53,896,000",4562,1923,"£22,980,000",42.15,42.64,"£11,950"
SW,South Hams District Council,"£48,398,000",4026,1713,"£20,775,000",42.55,42.93,"£12,128"
SW,North Somerset Council,"£40,396,000",3466,1453,"£17,395,000",41.92,43.06,"£11,972"
E,Stevenage Borough Council,"£11,456,000",927,362,"£4,940,000",39.05,43.12,"£13,646"
L,London Borough of Brent,"£64,386,000",4411,1832,"£27,905,000",41.53,43.34,"£15,232"
NW,Fylde Council,"£21,662,000",1721,792,"£9,390,000",46.02,43.35,"£11,856"
EM,East Northamptonshire Council,"£17,942,000",1437,709,"£7,825,000",49.34,43.61,"£11,037"
SE,Spelthorne Borough Council,"£15,132,000",1124,540,"£6,600,000",48.04,43.62,"£12,222"
SE,Cherwell District Council,"£26,690,000",2165,889,"£11,650,000",41.06,43.65,"£13,105"
E,Peterborough City Council,"£34,450,000",2806,1243,"£15,040,000",44.30,43.66,"£12,100"
SW,Mendip District Council,"£32,678,000",2450,1124,"£14,270,000",45.88,43.67,"£12,696"
SE,Lewes District Council,"£25,884,000",1969,901,"£11,320,000",45.76,43.73,"£12,564"
WM,Stratford-on-Avon District Council,"£35,520,000",2792,1238,"£15,560,000",44.34,43.81,"£12,569"
EM,Ashfield District Council,"£22,284,000",1938,892,"£9,820,000",46.03,44.07,"£11,009"
L,City of London,"£14,740,000",1338,352,"£6,505,000",26.31,44.13,"£18,480"
NW,Bury Council,"£42,920,000",3426,1635,"£18,960,000",47.72,44.18,"£11,596"
SE,Canterbury City Council,"£48,240,000",2728,1628,"£21,380,000",59.68,44.32,"£13,133"
L,London Borough of Lambeth,"£57,500,000",3892,1839,"£25,500,000",47.25,44.35,"£13,866"
WM,Shropshire Council,"£91,670,000",7645,3559,"£40,720,000",46.55,44.42,"£11,441"
EM,Leicester City Council,"£85,352,000",6161,3247,"£37,915,000",52.70,44.42,"£11,677"
SE,Medway Council,"£39,712,000",2960,1415,"£17,675,000",47.80,44.51,"£12,491"
E,North Norfolk District Council,"£65,502,000",4970,2629,"£29,185,000",52.90,44.56,"£11,101"
